1785	-14.8	-14.9	-4.8	-6.8	0.1	3.4	7.2	8.1	2.5	-0.2	-7.2	-8.9	-3
1786	-9.7	-9.1	-6.1	1.2	3.8	5.6	9.1	7.3	2.7	-0.7	3.6	-7.1	0.1
1787	-13.2	-13	-11.4	-1.4	2.4	8.2	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1788	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-4.1	-1.1	-1000
1789	-5.9	-13.5	-7.3	-2.9	1.7	6.6	9.2	6.2	3.8	-1.5	-1.8	-10.5	-1.3
1790	-12.3	-12.5	-12.2	-4	0.7	4.7	7.6	8.7	2.5	-1.4	-4.9	-12.1	-2.9
1791	-21.4	-12.9	-14.1	-0.4	-1.9	5.2	7	6.2	6.1	-0.9	-5.5	-9.2	-3.5
1792	-11.4	-10.2	-11.1	-2.9	1.2	3.6	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1793	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1794	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1795	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1796	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-5.5	-4.5	-6.3	-1000
1797	-11.7	-16	-12.2	-9.6	1.9	4.5	7.5	6.8	2.9	-0.2	-3.4	-8.2	-3.1
1798	-14.8	-12.3	-5.2	-6.6	0.8	3.5	6.1	5.1	1.2	-2.7	-5.5	-10.1	-3.4
1799	-13.5	-8.6	-14.2	-6	0.8	3	-1000	-1000	2.7	-2.5	-8.2	-2.9	-1000
1800	-9	-12.7	-7.6	-7.7	2.4	5.6	6.1	6.3	1.3	-1	-6.6	-9.3	-2.7
1801	-14.3	-9.9	-11.1	-8.2	-2.5	1.9	6.7	6.3	1.3	-1.7	-6.4	-6.8	-3.7
1802	-10.3	-17.3	-16.8	-10.7	-0.2	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1803	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1804	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1805	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000
1806	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-7.6	-13.4	-1000
